videoId,name,videoInfo,category,partOfBody,videoImage,mimeType,uploadTime,price,coach,equipment,level,pass,checked,checkTime
,課程名01,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,瑜珈,全身,,,2021/6/17,999,HARMONY,瑜伽墊,1,0,0,
,課程名02,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,重訓,二頭,,,2021/6/18,999,ELSA,啞鈴,3,0,0,
,課程名03,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/19,799,OLIVER,none,2,0,0,
,課程名04,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,瑜珈,全身,,,2021/6/20,999,EVERLY,瑜伽墊,1,0,0,
,課程名05,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/21,999,JOELLE,none,1,0,0,
,課程名06,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/22,1099,RONNIE,瑜伽墊,3,0,0,
,課程名07,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,重訓,胸,,,2021/6/23,1099,PAISLEY,none,2,0,0,
,課程名08,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,重訓,三頭,,,2021/6/24,666,AUSTIN,彈力帶,2,0,0,
,課程名09,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,重訓,全身,,,2021/6/25,1099,DANNA,瑜伽墊,3,0,0,
,課程名10,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/26,1099,HENRY,none,3,0,0,
,課程名11,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/27,666,KASSIDY,none,1,0,0,
,課程名12,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,瑜珈,全身,,,2021/6/28,1099,VICTORIA,瑜伽墊,3,0,0,
,課程名13,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/29,1099,SUMMER,none,2,0,0,
,課程名14,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/6/30,1099,ADAM,none,1,0,0,
,課程名15,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,重訓,腿,,,2021/7/1,1099,LAUREL,彈力帶,1,0,0,
,課程名16,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/7/2,799,WALTER,none,2,0,0,
,課程名17,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,瑜珈,全身,,,2021/7/3,1099,ELLE,瑜伽墊,1,0,0,
,課程名18,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/7/4,1099,DOUGLAS,none,2,0,0,
,課程名19,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,重訓,核心,,,2021/7/5,999,MARLEY,none,3,0,0,
,課程名20,這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹這是介紹,有氧,全身,,,2021/7/6,999,JONATHAN,none,2,0,0,
